Epoch 1/500 | latent_loss=0.004482 | mask_loss=8.760836 | total_loss=8.765318 | epoch_time=11.0s | eta=91.4m (finishes ~ 03:44:46)
Epoch 2/500 | latent_loss=0.002240 | mask_loss=8.755716 | total_loss=8.757956 | epoch_time=8.5s | eta=81.0m (finishes ~ 03:34:31)
Epoch 3/500 | latent_loss=0.001161 | mask_loss=8.749905 | total_loss=8.751066 | epoch_time=8.6s | eta=77.7m (finishes ~ 03:31:18)
Epoch 4/500 | latent_loss=0.000662 | mask_loss=8.743072 | total_loss=8.743733 | epoch_time=8.2s | eta=75.1m (finishes ~ 03:28:53)
Epoch 5/500 | latent_loss=0.000487 | mask_loss=8.733650 | total_loss=8.734137 | epoch_time=8.4s | eta=73.8m (finishes ~ 03:27:39)
Epoch 6/500 | latent_loss=0.000408 | mask_loss=8.720887 | total_loss=8.721295 | epoch_time=8.3s | eta=72.7m (finishes ~ 03:26:42)
Epoch 7/500 | latent_loss=0.000353 | mask_loss=8.703877 | total_loss=8.704230 | epoch_time=8.5s | eta=72.2m (finishes ~ 03:26:20)
Epoch 8/500 | latent_loss=0.000319 | mask_loss=8.679417 | total_loss=8.679736 | epoch_time=8.9s | eta=72.2m (finishes ~ 03:26:30)
Epoch 9/500 | latent_loss=0.000297 | mask_loss=8.644217 | total_loss=8.644513 | epoch_time=8.3s | eta=71.6m (finishes ~ 03:26:02)
Epoch 10/500 | latent_loss=0.000276 | mask_loss=8.594308 | total_loss=8.594584 | epoch_time=8.6s | eta=71.3m (finishes ~ 03:25:53)
Epoch 11/500 | latent_loss=0.000259 | mask_loss=8.524850 | total_loss=8.525109 | epoch_time=8.4s | eta=70.9m (finishes ~ 03:25:36)
Epoch 12/500 | latent_loss=0.000244 | mask_loss=8.429350 | total_loss=8.429593 | epoch_time=8.3s | eta=70.4m (finishes ~ 03:25:19)
Epoch 13/500 | latent_loss=0.000230 | mask_loss=8.301274 | total_loss=8.301505 | epoch_time=8.7s | eta=70.3m (finishes ~ 03:25:21)
Epoch 14/500 | latent_loss=0.000218 | mask_loss=8.132538 | total_loss=8.132756 | epoch_time=8.6s | eta=70.2m (finishes ~ 03:25:20)
Epoch 15/500 | latent_loss=0.000206 | mask_loss=7.914469 | total_loss=7.914675 | epoch_time=8.1s | eta=69.7m (finishes ~ 03:25:01)
Epoch 16/500 | latent_loss=0.000197 | mask_loss=7.250319 | total_loss=7.250516 | epoch_time=8.3s | eta=69.4m (finishes ~ 03:24:52)
Epoch 17/500 | latent_loss=0.000232 | mask_loss=5.649889 | total_loss=5.650121 | epoch_time=8.5s | eta=69.2m (finishes ~ 03:24:50)
Epoch 18/500 | latent_loss=0.000575 | mask_loss=3.752335 | total_loss=3.752911 | epoch_time=8.3s | eta=69.0m (finishes ~ 03:24:42)
Epoch 19/500 | latent_loss=0.000925 | mask_loss=1.824209 | total_loss=1.825135 | epoch_time=8.2s | eta=68.7m (finishes ~ 03:24:32)
Epoch 20/500 | latent_loss=0.001323 | mask_loss=0.406251 | total_loss=0.407573 | epoch_time=8.1s | eta=68.3m (finishes ~ 03:24:20)
Epoch 21/500 | latent_loss=0.001925 | mask_loss=0.049520 | total_loss=0.051445 | epoch_time=8.5s | eta=68.2m (finishes ~ 03:24:20)
Epoch 22/500 | latent_loss=0.001953 | mask_loss=0.012142 | total_loss=0.014095 | epoch_time=8.6s | eta=68.1m (finishes ~ 03:24:22)
Epoch 23/500 | latent_loss=0.001674 | mask_loss=0.006072 | total_loss=0.007746 | epoch_time=8.8s | eta=68.0m (finishes ~ 03:24:27)
Epoch 24/500 | latent_loss=0.001467 | mask_loss=0.004362 | total_loss=0.005829 | epoch_time=8.6s | eta=67.9m (finishes ~ 03:24:28)
Epoch 25/500 | latent_loss=0.001408 | mask_loss=0.003693 | total_loss=0.005101 | epoch_time=8.3s | eta=67.7m (finishes ~ 03:24:24)
Epoch 26/500 | latent_loss=0.001396 | mask_loss=0.003368 | total_loss=0.004764 | epoch_time=8.8s | eta=67.6m (finishes ~ 03:24:28)
Epoch 27/500 | latent_loss=0.001391 | mask_loss=0.003178 | total_loss=0.004570 | epoch_time=8.2s | eta=67.3m (finishes ~ 03:24:21)
Epoch 28/500 | latent_loss=0.001385 | mask_loss=0.003045 | total_loss=0.004431 | epoch_time=8.4s | eta=67.2m (finishes ~ 03:24:19)
Epoch 29/500 | latent_loss=0.001380 | mask_loss=0.002940 | total_loss=0.004320 | epoch_time=8.3s | eta=67.0m (finishes ~ 03:24:15)
Epoch 30/500 | latent_loss=0.001376 | mask_loss=0.002848 | total_loss=0.004223 | epoch_time=8.3s | eta=66.8m (finishes ~ 03:24:11)
Epoch 31/500 | latent_loss=0.001372 | mask_loss=0.002764 | total_loss=0.004136 | epoch_time=8.8s | eta=66.7m (finishes ~ 03:24:15)
Epoch 32/500 | latent_loss=0.001368 | mask_loss=0.002685 | total_loss=0.004053 | epoch_time=8.3s | eta=66.5m (finishes ~ 03:24:11)
Epoch 33/500 | latent_loss=0.001364 | mask_loss=0.002611 | total_loss=0.003974 | epoch_time=8.6s | eta=66.4m (finishes ~ 03:24:13)
Epoch 34/500 | latent_loss=0.001360 | mask_loss=0.002540 | total_loss=0.003899 | epoch_time=8.7s | eta=66.3m (finishes ~ 03:24:16)
